fixture_id,api_football_id,date,competition2,Competition_id,home_team,home_team_id,away_team,away_team_id,goals_home,goals_away,status,home_coach,home_coach_api_id,away_coach,away_coach_api_id,home_shots_total,away_shots_total,home_shots_on_goal,away_shots_on_goal,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_blocked_shots,away_blocked_shots,home_penalties,away_penalties,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goals_ht,away_goals_ht
350517,256757,2017-03-23 20:30:00+00:00,FIFA World Cup qualification - CONMEBOL,85,Colombia,2635,Bolivia,2633,1,0,FT,J. Pekerman,3037.0,M. Soria,811.0,21.0,2.0,7.0,1.0,10.0,1.0,11.0,1.0,4.0,0.0,0.0,0.0,8.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
350518,256758,2017-03-23 23:00:00+00:00,FIFA World Cup qualification - CONMEBOL,85,Paraguay,2636,Ecuador,1905,2,1,FT,F. Arce,661.0,G. Quinteros,510.0,6.0,11.0,5.0,3.0,3.0,4.0,3.0,7.0,0.0,1.0,0.0,1.0,3.0,7.0,1.0,3.0,0.0,0.0,1.0,0.0
350519,256759,2017-03-23 23:00:00+00:00,FIFA World Cup qualification - CONMEBOL,85,Uruguay,1920,Brazil,1924,1,4,FT,Ó. Tabárez,362.0,Tite,333.0,19.0,11.0,4.0,7.0,11.0,7.0,8.0,4.0,8.0,3.0,1.0,0.0,4.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0
350520,256760,2017-03-23 23:30:00+00:00,FIFA World Cup qualification - CONMEBOL,85,Argentina,1906,Chile,2630,1,0,FT,E. Bauza,3216.0,Pizzi,1691.0,8.0,6.0,2.0,1.0,5.0,2.0,3.0,4.0,0.0,2.0,1.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,1.0,0.0
350521,256761,2017-03-23 23:30:00+00:00,FIFA World Cup qualification - CONMEBOL,85,Venezuela,2631,Peru,2629,2,2,FT,R. Dudamel,327.0,R. Gareca,328.0,10.0,12.0,5.0,5.0,5.0,8.0,5.0,4.0,1.0,4.0,0.0,0.0,1.0,4.0,2.0,3.0,0.0,0.0,2.0,0.0
350295,256503,2017-03-24 17:00:00+00:00,FIFA World Cup qualification - UEFA,84,Georgia,1975,Serbia,1925,1,3,FT,V. Weiss,185.0,S. Muslin,4252.0,8.0,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,2.0,0.0,0.0,0.0,1.0,1.0
350296,256504,2017-03-24 17:00:00+00:00,FIFA World Cup qualification - UEFA,84,Turkey,1974,Finland,2002,2,0,FT,F. Terim,1452.0,M. Kanerva,198.0,6.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,5.0,0.0,0.0,2.0,0.0
350297,256505,2017-03-24 19:45:00+00:00,FIFA World Cup qualification - UEFA,84,Austria,1969,Moldova,1991,2,0,FT,M. Koller,2012.0,I. Dobrovolskiy,4706.0,13.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0
350298,256506,2017-03-24 19:45:00+00:00,FIFA World Cup qualification - UEFA,84,Republic of Ireland,1995,Wales,1927,0,0,FT,M. O'Neill,2940.0,C. Coleman,60.0,6.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,2.0,2.0,0.0,1.0,0.0,0.0
350299,256507,2017-03-24 19:45:00+00:00,FIFA World Cup qualification - UEFA,84,Italy,1966,Albania,1967,2,0,FT,G. Ventura,1606.0,G. De Biasi,5739.0,12.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,3.0,0.0,5.0,0.0,0.0,1.0,0.0
350300,256508,2017-03-24 19:45:00+00:00,FIFA World Cup qualification - UEFA,84,Liechtenstein,2000,North Macedonia,1984,0,3,FT,R. Pauritsch,2945.0,I. Angelovski,119.0,3.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0
350301,256509,2017-03-24 19:45:00+00:00,FIFA World Cup qualification - UEFA,84,Spain,1930,Israel,1983,4,1,FT,Lopetegui,1594.0,E. Levy,4659.0,10.0,5.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0
350302,256510,2017-03-24 19:45:00+00:00,FIFA World Cup qualification - UEFA,84,Croatia,1913,Ukraine,1973,1,0,FT,A. Čačić,5736.0,O. Kucher,11506.0,11.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0
350303,256511,2017-03-24 19:45:00+00:00,FIFA World Cup qualification - UEFA,84,Kosovo,2005,Iceland,1993,1,2,FT,A. Bunjaki,5738.0,H. Hallgrímsson,1896.0,7.0,10.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0
350723,256281,2017-03-24 23:00:00+00:00,FIFA World Cup qualification - CONCACAF,86,Trinidad and Tobago,2845,Panama,2634,1,0,FT,D. Lawrence,319.0,H. Gómez,322.0,8.0,14.0,5.0,2.0,2.0,8.0,6.0,6.0,1.0,5.0,0.0,0.0,3.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0
350724,256282,2017-03-25 01:50:00+00:00,FIFA World Cup qualification - CONCACAF,86,Mexico,1910,Costa Rica,1931,2,0,FT,J. Osorio,138.0,Ó. Ramírez,3039.0,5.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,1.0,0.0,0.0,2.0,0.0
350725,256283,2017-03-25 02:55:00+00:00,FIFA World Cup qualification - CONCACAF,86,United States,1926,Honduras,2854,6,0,FT,B. Arena,1985.0,J. Pinto,2163.0,8.0,9.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,3.0,0.0
350304,256512,2017-03-25 17:00:00+00:00,FIFA World Cup qualification - UEFA,84,Sweden,1996,Belarus,1981,4,0,FT,J. Andersson,189.0,A. Khatskevich,1265.0,16.0,5.0,7.0,1.0,10.0,3.0,6.0,2.0,2.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
350305,256513,2017-03-25 17:00:00+00:00,FIFA World Cup qualification - UEFA,84,Andorra,1992,Faroe Islands,1998,0,0,FT,Koldo,181.0,L. Olsen,192.0,4.0,7.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,5.0,2.0,0.0,1.0,0.0,0.0
350306,256514,2017-03-25 17:00:00+00:00,FIFA World Cup qualification - UEFA,84,Switzerland,1918,Latvia,1985,1,0,FT,V. Petković,186.0,M. Pahars,2038.0,14.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0
350307,256515,2017-03-25 17:00:00+00:00,FIFA World Cup qualification - UEFA,84,Cyprus,1977,Estonia,1980,0,0,FT,I. Charalambous,8021.0,A. Dmitrijev,2297.0,8.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
350308,256516,2017-03-25 17:00:00+00:00,FIFA World Cup qualification - UEFA,84,Bosnia and Herzegovina,2003,Gibraltar,1994,5,0,FT,M. Baždarević,1471.0,J. Wood,5742.0,21.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
350309,256517,2017-03-25 19:45:00+00:00,FIFA World Cup qualification - UEFA,84,Bulgaria,1987,Netherlands,1901,2,0,FT,P. Hubchev,171.0,D. Blind,5740.0,6.0,9.0,4.0,3.0,3.0,7.0,3.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0
350310,256518,2017-03-25 19:45:00+00:00,FIFA World Cup qualification - UEFA,84,Luxembourg,1989,France,1928,1,3,FT,M. Mutsch,11903.0,D. Deschamps,180.0,2.0,18.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,8.0,3.0,1.0,0.0,0.0,1.0,2.0
350311,256519,2017-03-25 19:45:00+00:00,FIFA World Cup qualification - UEFA,84,Portugal,1922,Hungary,1965,3,0,FT,Fernando Santos,175.0,B. Storck,2878.0,12.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
350312,256520,2017-03-25 19:45:00+00:00,FIFA World Cup qualification - UEFA,84,Belgium,1916,Greece,2001,1,1,FT,Roberto Martínez,48.0,M. Skibbe,3411.0,12.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0
350313,256521,2017-03-26 17:00:00+00:00,FIFA World Cup qualification - UEFA,84,Azerbaijan,1982,Germany,1914,1,4,FT,R. Prosinečki,199.0,J. Löw,113.0,4.0,12.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,2.0,0.0,0.0,1.0,3.0
